Date,cpi_au,cpi_us,infl_au,infl_us,infl_diff
2018-03-31,78.21,249.554,0.0014501410030813844,0.0022585734059274998,-0.0008084324028461154
2018-04-30,78.30333333333333,250.546,0.0011926567840436775,0.00396721176193271,-0.002774554977889032
2018-05-31,78.39666666666666,251.588,0.0011912360481218798,0.004150292534253808,-0.002959056486131928
2018-06-30,78.49,251.989,0.0011898186930361376,0.001592606829770915,-0.0004027881367347774
2018-07-31,78.60333333333332,252.006,0.0014428792182448191,6.746098674170753e-05,0.0013754182315031116
2018-08-31,78.71666666666667,252.146,0.0014408003170496286,0.0005553880718460746,0.000885412245203554
2018-09-30,78.83,252.439,0.0014387273978000437,0.0011613505472087837,0.00027737685059125994
2018-10-31,78.96666666666667,252.885,0.001732187424813958,0.0017652045650287107,-3.301714021475277e-05
2018-11-30,79.10333333333332,252.038,0.0017291921391864307,-0.0033549701418769118,0.0050841622810633424
2018-12-31,79.24,251.233,0.0017262071945332025,-0.0031990744014089856,0.004925281595942188
2019-01-31,79.23666666666666,251.712,-4.206718129484699e-05,0.0019047814167567623,-0.0019468485980516093
2019-02-28,79.23333333333333,252.776,-4.2068951016993594e-05,0.004218144247722044,-0.004260213198739038
2019-03-31,79.23,254.202,-4.2070720887465995e-05,0.005625505487949489,-0.005667576208836955
2019-04-30,79.38666666666667,255.548,0.001975413062260678,0.005281032381554418,-0.00330561931929374
2019-05-31,79.54333333333334,256.092,0.00197151849760413,0.002126495993263866,-0.00015497749565973606
2019-06-30,79.7,256.143,0.001967639259153664,0.00019912735431315554,0.0017685119048405085
2019-07-31,79.85000000000001,256.571,0.00188028886485192,0.0016695471526695371,0.0002107417121823829
2019-08-31,80.0,256.558,0.0018767600128599682,-5.066951976129275e-05,0.001927429532621261
2019-09-30,80.15,256.759,0.0018732443816809052,0.000783141841290913,0.0010901025403899922
2019-10-31,80.33333333333334,257.346,0.002284765766983554,0.0022835811948453966,1.1845721381575913e-06
2019-11-30,80.51666666666667,257.208,0.0022795575097607212,-0.0005363868643861736,0.002815944374146895
2019-12-31,80.7,256.974,0.0022743729435967808,-0.000910183616519511,0.0031845565601162917
2020-01-31,80.8,257.971,0.0012383902511468037,0.0038722630408534187,-0.002633872789706615
2020-02-29,80.9,258.678,0.0012368585373963015,0.0027368694851341857,-0.0015000109477378842
2020-03-31,81.0,258.115,0.0012353306079928572,-0.0021788229435228956,0.003414153551515753
2020-04-30,80.48,256.389,-0.006440448321010095,-0.006709399634609703,0.000268951313599608
2020-05-31,79.96,256.394,-0.006482196719229449,1.950142652962228e-05,-0.006501698145759072
2020-06-30,79.44,257.797,-0.006524489895282315,0.0054571296728553875,-0.011981619568137702
2020-07-31,79.85,259.101,0.005147854924103967,0.005045493564790782,0.00010236135931318557
2020-08-31,80.26,259.918,0.005121490177749877,0.003148249581638396,0.0019732405961114807
2020-09-30,80.67,260.28,0.005095394110111506,0.0013917779708272349,0.0037036161392842715
